wine_id,type,wine_name,country,region,varietal_name,winery,year,grapes_1_name,grapes_2_name,grapes_3_name
161098216,Red,Herdade do Sobroso Grande Reserva Tinto ,portugal,Alentejo,Red,Herdade do Sobroso,2019,Touriga Nacional,Tinta Roriz,Touriga Franca
14769995,Red,Herdade das Servas Vinhas Velhas Estremoz ,portugal,Alentejo,Red,Herdade das Servas,2015,Touriga Nacional,Tinta Roriz,Touriga Franca
100058286,Red,Dona Maria Júlio Bastos Grande Reserva ,portugal,Alentejo,Red,Dona Maria,2016,Touriga Nacional,Tinta Roriz,Touriga Franca
150777870,Red,Ervideira Conde d'Ervideira Vinho da Água Tinto ,portugal,Alentejo,Red,Ervideira,2017,Touriga Nacional,Tinta Roriz,Touriga Franca
158260516,Red,Quinta do Quetzal Reserva Tinto ,portugal,Alentejo,Red,Quinta do Quetzal,2018,Touriga Nacional,Tinta Roriz,Touriga Franca
162913665,Red,Herdade do Peso Trinca Bolotas Alentejo Tinto ,portugal,Alentejo,Red,Herdade do Peso,2020,Touriga Nacional,Tinta Roriz,Touriga Franca
167633887,Red,Cabeças do Reguengo Respiro Clarete ,portugal,Alentejo,Red,Cabeças do Reguengo,2019,Touriga Nacional,Tinta Roriz,Touriga Franca
163170619,Red,Herdade Papa Leite (HPL) B 62 ,portugal,Alentejo,Red,Herdade Papa Leite (HPL),2017,Touriga Nacional,Tinta Roriz,Touriga Franca
163002586,Red,Herdade Aldeia de Cima Alyantiju Tinto ,portugal,Vidigueira,Red,Herdade Aldeia de Cima,2018,Touriga Nacional,Tinta Roriz,Touriga Franca
1521722,Red,Mouchão Colheitas Antigas ,portugal,Alentejo,Red,Mouchão,2002,Touriga Nacional,Tinta Roriz,Touriga Franca
23000132,Red,Paulo Laureano Selectio Grossa ,portugal,Alentejo,Red,Paulo Laureano,2015,Touriga Nacional,Tinta Roriz,Touriga Franca
171202861,Red,Já Te Disse Alicante Bouschet ,portugal,Alentejo,Red,Já Te Disse,2020,Touriga Nacional,Tinta Roriz,Touriga Franca
14188383,Red,Cartuxa Pêra-Manca Tinto ,portugal,Alentejo,Red,Cartuxa,2015,Touriga Nacional,Tinta Roriz,Touriga Franca
167792869,Red,Esporão Esporão Reserva Tinto ,portugal,Alentejo,Red,Esporão,2019,Touriga Nacional,Tinta Roriz,Touriga Franca
165824463,Red,Fitapreta Vinhas Velhas Moreto Chão dos Eremitas ,portugal,Alentejo,Red,Fitapreta,2018,Touriga Nacional,Tinta Roriz,Touriga Franca
160734930,Red,Herdade de Coelheiros Coelheiros Red ,portugal,Alentejo,Red,Herdade de Coelheiros,2018,Touriga Nacional,Tinta Roriz,Touriga Franca
161499335,Red,Fitapreta A Touriga Vai Nua (Unoaked) ,portugal,Alentejo,Red,Fitapreta,2019,Touriga Nacional,Tinta Roriz,Touriga Franca
156863757,Red,Herdade do Rocim Crónica # 328 José Ribeiro Vieira ,portugal,Alentejo,Red,Herdade do Rocim,2015,Touriga Nacional,Tinta Roriz,Touriga Franca
155529179,Red,Herdade do Sobroso Arché ,portugal,Alentejo,Red,Herdade do Sobroso,2016,Touriga Nacional,Tinta Roriz,Touriga Franca
100057835,Red,Dona Maria Júlio Bastos Grande Reserva ,portugal,Alentejo,Red,Dona Maria,2015,Touriga Nacional,Tinta Roriz,Touriga Franca
27599744,Red,Quinta da Terrugem Tinto ,portugal,Alentejo,Red,Quinta da Terrugem,2015,Touriga Nacional,Tinta Roriz,Touriga Franca
147276422,Red,Adega Familiar Eladio Piñeiro La Coartada ,portugal,Alentejo,Red,Adega Familiar Eladio Piñeiro,2009,Touriga Nacional,Tinta Roriz,Touriga Franca
170021781,Red,Vitor Claro Foxtrot Dominó ,portugal,Alentejo,Red,Vitor Claro,2020,Touriga Nacional,Tinta Roriz,Touriga Franca
156330767,Red,Adega Mayor Grande Reserva Pai Chão ,portugal,Alentejo,Red,Adega Mayor,2016,Touriga Nacional,Tinta Roriz,Touriga Franca
3840083,Red,Esporão Torre Tinto ,portugal,Alentejo,Red,Esporão,2011,Touriga Nacional,Tinta Roriz,Touriga Franca
17204492,Red,Tapada do Chaves Reserva Tinto ,portugal,Alentejo,Red,Tapada do Chaves,2015,Touriga Nacional,Tinta Roriz,Touriga Franca
4369736,Red,Tiago Cabaço blog (Black Label) ,portugal,Alentejo,Red,Tiago Cabaço,2012,Touriga Nacional,Tinta Roriz,Touriga Franca
29697471,Red,Malhadinha Nova Syrah da Peceguina ,portugal,Alentejo,Red,Malhadinha Nova,2015,Touriga Nacional,Tinta Roriz,Touriga Franca
122359480,Red,Nunes Barata Grande Reserva ,portugal,Alentejo,Red,Nunes Barata,2013,Touriga Nacional,Tinta Roriz,Touriga Franca
147132932,Red,Maria Mora Enamorada Tinto ,portugal,Alentejo,Red,Maria Mora,2012,Touriga Nacional,Tinta Roriz,Touriga Franca
14567684,Red,Outeiros Altos Private Selection ,portugal,Alentejo,Red,Outeiros Altos,2012,Touriga Nacional,Tinta Roriz,Touriga Franca
3330912,Red,Mouchão Tonel Nº 3 - 4 ,portugal,Alentejo,Red,Mouchão,2013,Touriga Nacional,Tinta Roriz,Touriga Franca
18144586,Red,Malhadinha Nova Alicante Bouschet Menino Antonio ,portugal,Alentejo,Red,Malhadinha Nova,2014,Touriga Nacional,Tinta Roriz,Touriga Franca
7108768,Red,Herdade do Pombal Reserva ,portugal,Alentejo,Red,Herdade do Pombal,2013,Touriga Nacional,Tinta Roriz,Touriga Franca
162409204,Red,Herdade Aldeia de Cima Alyantiju Tinto ,portugal,Vidigueira,Red,Herdade Aldeia de Cima,2017,Touriga Nacional,Tinta Roriz,Touriga Franca
163059108,Red,Esporão Colheita Tinto ,portugal,Alentejo,Red,Esporão,2020,Touriga Nacional,Tinta Roriz,Touriga Franca
7565990,Red,Cartuxa Pêra-Manca Tinto ,portugal,Alentejo,Red,Cartuxa,2013,Touriga Nacional,Tinta Roriz,Touriga Franca
160083884,Red,Arrepiado Velho Amma Red ,portugal,Alentejo,Red,Arrepiado Velho,2017,Touriga Nacional,Tinta Roriz,Touriga Franca
167789916,Red,Esporão Esporão Reserva Tinto ,portugal,Alentejo,Red,Esporão,2018,Touriga Nacional,Tinta Roriz,Touriga Franca
97816356,Red,Esporão Esporão Reserva Tinto ,portugal,Alentejo,Red,Esporão,2016,Touriga Nacional,Tinta Roriz,Touriga Franca
156559012,Red,Cartuxa Foral de Évora Colheita Tinto ,portugal,Evora,Red,Cartuxa,2018,Touriga Nacional,Tinta Roriz,Touriga Franca
165012363,Red,Malhadinha Nova Pequeno Joao ,portugal,Alentejo,Red,Malhadinha Nova,2019,Touriga Nacional,Tinta Roriz,Touriga Franca
68851527,Red,Herdade do Peso Ícone Alentejo Tinto ,portugal,Alentejo,Red,Herdade do Peso,2014,Touriga Nacional,Tinta Roriz,Touriga Franca
169892067,Red,Herdade Aldeia de Cima Myndru Tinto ,portugal,Alentejo,Red,Herdade Aldeia de Cima,2019,Touriga Nacional,Tinta Roriz,Touriga Franca
87581774,Red,Abadía Retuerta Pago Valdebellón ,spain,Sardón de Duero,Cabernet Sauvignon,Abadía Retuerta,2016,Tempranillo,Garnacha,Cabernet Sauvignon
169603165,Red,Abadía Retuerta Pago Valdebellón ,spain,Sardón de Duero,Cabernet Sauvignon,Abadía Retuerta,2017,Tempranillo,Garnacha,Cabernet Sauvignon
15749491,Red,Collbaix Celler El Molí Singular Negre ,spain,Pla de Bages,Cabernet Sauvignon,Collbaix Celler El Molí,2015,Tempranillo,Garnacha,Cabernet Sauvignon
22822239,Red,Jean Leon Vinya La Scala Gran Reserva Cabernet Sauvignon ,spain,Penedès,Cabernet Sauvignon,Jean Leon,2015,Tempranillo,Garnacha,Cabernet Sauvignon
26199623,Red,Abadía Retuerta Pago Valdebellón ,spain,Sardón de Duero,Cabernet Sauvignon,Abadía Retuerta,2015,Tempranillo,Garnacha,Cabernet Sauvignon
150408475,Red,Familia Torres Mas La Plana Cabernet Sauvignon ,spain,Penedès,Cabernet Sauvignon,Familia Torres,2017,Tempranillo,Garnacha,Cabernet Sauvignon
156111246,Red,Familia Torres Mas La Plana Cabernet Sauvignon ,spain,Penedès,Cabernet Sauvignon,Familia Torres,2018,Tempranillo,Garnacha,Cabernet Sauvignon
162614414,Red,Dehesa del Carrizal Cabernet Sauvignon ,spain,Dehesa del Carrizal,Cabernet Sauvignon,Dehesa del Carrizal,2019,Tempranillo,Garnacha,Cabernet Sauvignon
169809186,Red,Abadía Retuerta Pago Valdebellón ,spain,Sardón de Duero,Cabernet Sauvignon,Abadía Retuerta,2018,Tempranillo,Garnacha,Cabernet Sauvignon
132003675,Red,Familia Torres Mas La Plana Cabernet Sauvignon ,spain,Penedès,Cabernet Sauvignon,Familia Torres,2016,Tempranillo,Garnacha,Cabernet Sauvignon
14202975,Red,Solergibert Enric Solergibert Gran Selecció Reserva Cabernet Sauvignon ,spain,Pla de Bages,Cabernet Sauvignon,Solergibert,2002,Tempranillo,Garnacha,Cabernet Sauvignon
160146897,Red,Dehesa del Carrizal Cabernet Sauvignon ,spain,Dehesa del Carrizal,Cabernet Sauvignon,Dehesa del Carrizal,2018,Tempranillo,Garnacha,Cabernet Sauvignon
21592976,Red,Enate Cabernet ,spain,Somontano,Cabernet Sauvignon,Enate,2015,Tempranillo,Garnacha,Cabernet Sauvignon
148821027,Red,Collbaix Celler El Molí Singular Negre ,spain,Pla de Bages,Cabernet Sauvignon,Collbaix Celler El Molí,2016,Tempranillo,Garnacha,Cabernet Sauvignon
165808574,Red,Castillo de Aresan Bourbon Barrel Aged Cabernet Sauvignon ,spain,Vino de España,Cabernet Sauvignon,Castillo de Aresan,2020,Tempranillo,Garnacha,Cabernet Sauvignon
30077469,Red,Jean Leon Vinya Le Havre Reserva Cabernet Sauvignon ,spain,Penedès,Cabernet Sauvignon,Jean Leon,2015,Tempranillo,Garnacha,Cabernet Sauvignon
3950693,Red,Enate Reserva Cabernet Sauvignon ,spain,Somontano,Cabernet Sauvignon,Enate,2014,Tempranillo,Garnacha,Cabernet Sauvignon
162075073,Red,Bodega Sommos Colección Cabernet ,spain,Somontano,Cabernet Sauvignon,Bodega Sommos,2017,Tempranillo,Garnacha,Cabernet Sauvignon
153051581,Red,Dehesa del Carrizal Cabernet Sauvignon ,spain,Dehesa del Carrizal,Cabernet Sauvignon,Dehesa del Carrizal,2017,Tempranillo,Garnacha,Cabernet Sauvignon
156436625,Red,Marqués de Griñon Cabernet Sauvignon ,spain,Dominio de Valdepusa,Cabernet Sauvignon,Marqués de Griñon,2018,Tempranillo,Garnacha,Cabernet Sauvignon
152210122,Red,Jean Leon Vinya Le Havre Reserva Cabernet Sauvignon ,spain,Penedès,Cabernet Sauvignon,Jean Leon,2017,Tempranillo,Garnacha,Cabernet Sauvignon
18836575,Red,Bodega Tandem Ars memoria ,spain,Navarra,Cabernet Sauvignon,Bodega Tandem,2012,Tempranillo,Garnacha,Cabernet Sauvignon
161307312,Red,Marqués de Griñon Cabernet Sauvignon ,spain,Dominio de Valdepusa,Cabernet Sauvignon,Marqués de Griñon,2019,Tempranillo,Garnacha,Cabernet Sauvignon
156459425,Red,El Celler d’en Marc Lalut Superior Tinto ,spain,Cataluña,Cabernet Sauvignon,El Celler d’en Marc,2018,Tempranillo,Garnacha,Cabernet Sauvignon
144711274,Red,Bacalhôa Quinta da Garrida Reserva Tinto ,portugal,Dão,Red,Bacalhôa,2016,Touriga Nacional,Tinta Roriz,Touriga Franca
157387255,Red,Paco de Santar Vinha do Contador Grande Júri ,portugal,Dão,Red,Paco de Santar,2013,Touriga Nacional,Tinta Roriz,Touriga Franca
20578527,Red,Quinta da Pellada Carrocel ,portugal,Dão,Red,Quinta da Pellada,2012,Touriga Nacional,Tinta Roriz,Touriga Franca
