wine_id,type,wine_name,country,region,varietal_name,winery,year,grapes_1_name,grapes_2_name,grapes_3_name,tokenized
21629134,red,tiago cabaço blog (black label) ,portugal,alentejo,red,tiago cabaço,2015,touriga nacional,tinta roriz,touriga franca,"['tiago', 'cabaço', 'blog', '(', 'black', 'label', ')']"
162250431,red,herdade do sobroso reserva tinto ,portugal,alentejo,red,herdade do sobroso,2019,touriga nacional,tinta roriz,touriga franca,"['herdade', 'do', 'sobroso', 'reserva', 'tinto']"
156237791,red,ervideira conde d'ervideira reserva tinto ,portugal,alentejo,red,ervideira,2018,touriga nacional,tinta roriz,touriga franca,"['ervideira', 'conde', ""d'ervideira"", 'reserva', 'tinto']"
157408218,red,herdade de coelheiros coelheiros vinha do taco ,portugal,alentejo,red,herdade de coelheiros,2010,touriga nacional,tinta roriz,touriga franca,"['herdade', 'de', 'coelheiros', 'coelheiros', 'vinha', 'do', 'taco']"
141771899,red,mouchão alentejo dom rafael tinto ,portugal,alentejo,red,mouchão,2016,touriga nacional,tinta roriz,touriga franca,"['mouchão', 'alentejo', 'dom', 'rafael', 'tinto']"
153041381,red,herdade do rocim grande rocim reserva tinto ,portugal,alentejo,red,herdade do rocim,2017,touriga nacional,tinta roriz,touriga franca,"['herdade', 'do', 'rocim', 'grande', 'rocim', 'reserva', 'tinto']"
150268824,red,cartuxa évora colheita tinto ,portugal,evora,red,cartuxa,2017,touriga nacional,tinta roriz,touriga franca,"['cartuxa', 'évora', 'colheita', 'tinto']"
161098216,red,herdade do sobroso grande reserva tinto ,portugal,alentejo,red,herdade do sobroso,2019,touriga nacional,tinta roriz,touriga franca,"['herdade', 'do', 'sobroso', 'grande', 'reserva', 'tinto']"
14769995,red,herdade das servas vinhas velhas estremoz ,portugal,alentejo,red,herdade das servas,2015,touriga nacional,tinta roriz,touriga franca,"['herdade', 'das', 'servas', 'vinhas', 'velhas', 'estremoz']"
100058286,red,dona maria júlio bastos grande reserva ,portugal,alentejo,red,dona maria,2016,touriga nacional,tinta roriz,touriga franca,"['dona', 'maria', 'júlio', 'bastos', 'grande', 'reserva']"
150777870,red,ervideira conde d'ervideira vinho da água tinto ,portugal,alentejo,red,ervideira,2017,touriga nacional,tinta roriz,touriga franca,"['ervideira', 'conde', ""d'ervideira"", 'vinho', 'da', 'água', 'tinto']"
158260516,red,quinta do quetzal reserva tinto ,portugal,alentejo,red,quinta do quetzal,2018,touriga nacional,tinta roriz,touriga franca,"['quinta', 'do', 'quetzal', 'reserva', 'tinto']"
162913665,red,herdade do peso trinca bolotas alentejo tinto ,portugal,alentejo,red,herdade do peso,2020,touriga nacional,tinta roriz,touriga franca,"['herdade', 'do', 'peso', 'trinca', 'bolotas', 'alentejo', 'tinto']"
167633887,red,cabeças do reguengo respiro clarete ,portugal,alentejo,red,cabeças do reguengo,2019,touriga nacional,tinta roriz,touriga franca,"['cabeças', 'do', 'reguengo', 'respiro', 'clarete']"
163170619,red,herdade papa leite (hpl) b 62 ,portugal,alentejo,red,herdade papa leite (hpl),2017,touriga nacional,tinta roriz,touriga franca,"['herdade', 'papa', 'leite', '(', 'hpl', ')', 'b', '62']"
163002586,red,herdade aldeia de cima alyantiju tinto ,portugal,vidigueira,red,herdade aldeia de cima,2018,touriga nacional,tinta roriz,touriga franca,"['herdade', 'aldeia', 'de', 'cima', 'alyantiju', 'tinto']"
1521722,red,mouchão colheitas antigas ,portugal,alentejo,red,mouchão,2002,touriga nacional,tinta roriz,touriga franca,"['mouchão', 'colheitas', 'antigas']"
23000132,red,paulo laureano selectio grossa ,portugal,alentejo,red,paulo laureano,2015,touriga nacional,tinta roriz,touriga franca,"['paulo', 'laureano', 'selectio', 'grossa']"
171202861,red,já te disse alicante bouschet ,portugal,alentejo,red,já te disse,2020,touriga nacional,tinta roriz,touriga franca,"['já', 'te', 'disse', 'alicante', 'bouschet']"
14188383,red,cartuxa pêra-manca tinto ,portugal,alentejo,red,cartuxa,2015,touriga nacional,tinta roriz,touriga franca,"['cartuxa', 'pêra-manca', 'tinto']"
167792869,red,esporão esporão reserva tinto ,portugal,alentejo,red,esporão,2019,touriga nacional,tinta roriz,touriga franca,"['esporão', 'esporão', 'reserva', 'tinto']"
165824463,red,fitapreta vinhas velhas moreto chão dos eremitas ,portugal,alentejo,red,fitapreta,2018,touriga nacional,tinta roriz,touriga franca,"['fitapreta', 'vinhas', 'velhas', 'moreto', 'chão', 'dos', 'eremitas']"
160734930,red,herdade de coelheiros coelheiros red ,portugal,alentejo,red,herdade de coelheiros,2018,touriga nacional,tinta roriz,touriga franca,"['herdade', 'de', 'coelheiros', 'coelheiros', 'red']"
161499335,red,fitapreta a touriga vai nua (unoaked) ,portugal,alentejo,red,fitapreta,2019,touriga nacional,tinta roriz,touriga franca,"['fitapreta', 'a', 'touriga', 'vai', 'nua', '(', 'unoaked', ')']"
156863757,red,herdade do rocim crónica # 328 josé ribeiro vieira ,portugal,alentejo,red,herdade do rocim,2015,touriga nacional,tinta roriz,touriga franca,"['herdade', 'do', 'rocim', 'crónica', '#', '328', 'josé', 'ribeiro', 'vieira']"
155529179,red,herdade do sobroso arché ,portugal,alentejo,red,herdade do sobroso,2016,touriga nacional,tinta roriz,touriga franca,"['herdade', 'do', 'sobroso', 'arché']"
100057835,red,dona maria júlio bastos grande reserva ,portugal,alentejo,red,dona maria,2015,touriga nacional,tinta roriz,touriga franca,"['dona', 'maria', 'júlio', 'bastos', 'grande', 'reserva']"
27599744,red,quinta da terrugem tinto ,portugal,alentejo,red,quinta da terrugem,2015,touriga nacional,tinta roriz,touriga franca,"['quinta', 'da', 'terrugem', 'tinto']"
147276422,red,adega familiar eladio piñeiro la coartada ,portugal,alentejo,red,adega familiar eladio piñeiro,2009,touriga nacional,tinta roriz,touriga franca,"['adega', 'familiar', 'eladio', 'piñeiro', 'la', 'coartada']"
170021781,red,vitor claro foxtrot dominó ,portugal,alentejo,red,vitor claro,2020,touriga nacional,tinta roriz,touriga franca,"['vitor', 'claro', 'foxtrot', 'dominó']"
156330767,red,adega mayor grande reserva pai chão ,portugal,alentejo,red,adega mayor,2016,touriga nacional,tinta roriz,touriga franca,"['adega', 'mayor', 'grande', 'reserva', 'pai', 'chão']"
3840083,red,esporão torre tinto ,portugal,alentejo,red,esporão,2011,touriga nacional,tinta roriz,touriga franca,"['esporão', 'torre', 'tinto']"
17204492,red,tapada do chaves reserva tinto ,portugal,alentejo,red,tapada do chaves,2015,touriga nacional,tinta roriz,touriga franca,"['tapada', 'do', 'chaves', 'reserva', 'tinto']"
4369736,red,tiago cabaço blog (black label) ,portugal,alentejo,red,tiago cabaço,2012,touriga nacional,tinta roriz,touriga franca,"['tiago', 'cabaço', 'blog', '(', 'black', 'label', ')']"
29697471,red,malhadinha nova syrah da peceguina ,portugal,alentejo,red,malhadinha nova,2015,touriga nacional,tinta roriz,touriga franca,"['malhadinha', 'nova', 'syrah', 'da', 'peceguina']"
122359480,red,nunes barata grande reserva ,portugal,alentejo,red,nunes barata,2013,touriga nacional,tinta roriz,touriga franca,"['nunes', 'barata', 'grande', 'reserva']"
147132932,red,maria mora enamorada tinto ,portugal,alentejo,red,maria mora,2012,touriga nacional,tinta roriz,touriga franca,"['maria', 'mora', 'enamorada', 'tinto']"
14567684,red,outeiros altos private selection ,portugal,alentejo,red,outeiros altos,2012,touriga nacional,tinta roriz,touriga franca,"['outeiros', 'altos', 'private', 'selection']"
3330912,red,mouchão tonel nº 3 - 4 ,portugal,alentejo,red,mouchão,2013,touriga nacional,tinta roriz,touriga franca,"['mouchão', 'tonel', 'nº', '3', '-', '4']"
18144586,red,malhadinha nova alicante bouschet menino antonio ,portugal,alentejo,red,malhadinha nova,2014,touriga nacional,tinta roriz,touriga franca,"['malhadinha', 'nova', 'alicante', 'bouschet', 'menino', 'antonio']"
7108768,red,herdade do pombal reserva ,portugal,alentejo,red,herdade do pombal,2013,touriga nacional,tinta roriz,touriga franca,"['herdade', 'do', 'pombal', 'reserva']"
162409204,red,herdade aldeia de cima alyantiju tinto ,portugal,vidigueira,red,herdade aldeia de cima,2017,touriga nacional,tinta roriz,touriga franca,"['herdade', 'aldeia', 'de', 'cima', 'alyantiju', 'tinto']"
163059108,red,esporão colheita tinto ,portugal,alentejo,red,esporão,2020,touriga nacional,tinta roriz,touriga franca,"['esporão', 'colheita', 'tinto']"
7565990,red,cartuxa pêra-manca tinto ,portugal,alentejo,red,cartuxa,2013,touriga nacional,tinta roriz,touriga franca,"['cartuxa', 'pêra-manca', 'tinto']"
160083884,red,arrepiado velho amma red ,portugal,alentejo,red,arrepiado velho,2017,touriga nacional,tinta roriz,touriga franca,"['arrepiado', 'velho', 'amma', 'red']"
167789916,red,esporão esporão reserva tinto ,portugal,alentejo,red,esporão,2018,touriga nacional,tinta roriz,touriga franca,"['esporão', 'esporão', 'reserva', 'tinto']"
97816356,red,esporão esporão reserva tinto ,portugal,alentejo,red,esporão,2016,touriga nacional,tinta roriz,touriga franca,"['esporão', 'esporão', 'reserva', 'tinto']"
156559012,red,cartuxa foral de évora colheita tinto ,portugal,evora,red,cartuxa,2018,touriga nacional,tinta roriz,touriga franca,"['cartuxa', 'foral', 'de', 'évora', 'colheita', 'tinto']"
165012363,red,malhadinha nova pequeno joao ,portugal,alentejo,red,malhadinha nova,2019,touriga nacional,tinta roriz,touriga franca,"['malhadinha', 'nova', 'pequeno', 'joao']"
68851527,red,herdade do peso ícone alentejo tinto ,portugal,alentejo,red,herdade do peso,2014,touriga nacional,tinta roriz,touriga franca,"['herdade', 'do', 'peso', 'ícone', 'alentejo', 'tinto']"
169892067,red,herdade aldeia de cima myndru tinto ,portugal,alentejo,red,herdade aldeia de cima,2019,touriga nacional,tinta roriz,touriga franca,"['herdade', 'aldeia', 'de', 'cima', 'myndru', 'tinto']"
87581774,red,abadía retuerta pago valdebellón ,spain,sardón de duero,cabernet sauvignon,abadía retuerta,2016,tempranillo,garnacha,cabernet sauvignon,"['abadía', 'retuerta', 'pago', 'valdebellón']"
169603165,red,abadía retuerta pago valdebellón ,spain,sardón de duero,cabernet sauvignon,abadía retuerta,2017,tempranillo,garnacha,cabernet sauvignon,"['abadía', 'retuerta', 'pago', 'valdebellón']"
15749491,red,collbaix celler el molí singular negre ,spain,pla de bages,cabernet sauvignon,collbaix celler el molí,2015,tempranillo,garnacha,cabernet sauvignon,"['collbaix', 'celler', 'el', 'molí', 'singular', 'negre']"
22822239,red,jean leon vinya la scala gran reserva cabernet sauvignon ,spain,penedès,cabernet sauvignon,jean leon,2015,tempranillo,garnacha,cabernet sauvignon,"['jean', 'leon', 'vinya', 'la', 'scala', 'gran', 'reserva', 'cabernet', 'sauvignon']"
26199623,red,abadía retuerta pago valdebellón ,spain,sardón de duero,cabernet sauvignon,abadía retuerta,2015,tempranillo,garnacha,cabernet sauvignon,"['abadía', 'retuerta', 'pago', 'valdebellón']"
150408475,red,familia torres mas la plana cabernet sauvignon ,spain,penedès,cabernet sauvignon,familia torres,2017,tempranillo,garnacha,cabernet sauvignon,"['familia', 'torres', 'mas', 'la', 'plana', 'cabernet', 'sauvignon']"
156111246,red,familia torres mas la plana cabernet sauvignon ,spain,penedès,cabernet sauvignon,familia torres,2018,tempranillo,garnacha,cabernet sauvignon,"['familia', 'torres', 'mas', 'la', 'plana', 'cabernet', 'sauvignon']"
162614414,red,dehesa del carrizal cabernet sauvignon ,spain,dehesa del carrizal,cabernet sauvignon,dehesa del carrizal,2019,tempranillo,garnacha,cabernet sauvignon,"['dehesa', 'del', 'carrizal', 'cabernet', 'sauvignon']"
169809186,red,abadía retuerta pago valdebellón ,spain,sardón de duero,cabernet sauvignon,abadía retuerta,2018,tempranillo,garnacha,cabernet sauvignon,"['abadía', 'retuerta', 'pago', 'valdebellón']"
132003675,red,familia torres mas la plana cabernet sauvignon ,spain,penedès,cabernet sauvignon,familia torres,2016,tempranillo,garnacha,cabernet sauvignon,"['familia', 'torres', 'mas', 'la', 'plana', 'cabernet', 'sauvignon']"
14202975,red,solergibert enric solergibert gran selecció reserva cabernet sauvignon ,spain,pla de bages,cabernet sauvignon,solergibert,2002,tempranillo,garnacha,cabernet sauvignon,"['solergibert', 'enric', 'solergibert', 'gran', 'selecció', 'reserva', 'cabernet', 'sauvignon']"
160146897,red,dehesa del carrizal cabernet sauvignon ,spain,dehesa del carrizal,cabernet sauvignon,dehesa del carrizal,2018,tempranillo,garnacha,cabernet sauvignon,"['dehesa', 'del', 'carrizal', 'cabernet', 'sauvignon']"
21592976,red,enate cabernet ,spain,somontano,cabernet sauvignon,enate,2015,tempranillo,garnacha,cabernet sauvignon,"['enate', 'cabernet']"
148821027,red,collbaix celler el molí singular negre ,spain,pla de bages,cabernet sauvignon,collbaix celler el molí,2016,tempranillo,garnacha,cabernet sauvignon,"['collbaix', 'celler', 'el', 'molí', 'singular', 'negre']"
165808574,red,castillo de aresan bourbon barrel aged cabernet sauvignon ,spain,vino de españa,cabernet sauvignon,castillo de aresan,2020,tempranillo,garnacha,cabernet sauvignon,"['castillo', 'de', 'aresan', 'bourbon', 'barrel', 'aged', 'cabernet', 'sauvignon']"
30077469,red,jean leon vinya le havre reserva cabernet sauvignon ,spain,penedès,cabernet sauvignon,jean leon,2015,tempranillo,garnacha,cabernet sauvignon,"['jean', 'leon', 'vinya', 'le', 'havre', 'reserva', 'cabernet', 'sauvignon']"
3950693,red,enate reserva cabernet sauvignon ,spain,somontano,cabernet sauvignon,enate,2014,tempranillo,garnacha,cabernet sauvignon,"['enate', 'reserva', 'cabernet', 'sauvignon']"
162075073,red,bodega sommos colección cabernet ,spain,somontano,cabernet sauvignon,bodega sommos,2017,tempranillo,garnacha,cabernet sauvignon,"['bodega', 'sommos', 'colección', 'cabernet']"
153051581,red,dehesa del carrizal cabernet sauvignon ,spain,dehesa del carrizal,cabernet sauvignon,dehesa del carrizal,2017,tempranillo,garnacha,cabernet sauvignon,"['dehesa', 'del', 'carrizal', 'cabernet', 'sauvignon']"
156436625,red,marqués de griñon cabernet sauvignon ,spain,dominio de valdepusa,cabernet sauvignon,marqués de griñon,2018,tempranillo,garnacha,cabernet sauvignon,"['marqués', 'de', 'griñon', 'cabernet', 'sauvignon']"
152210122,red,jean leon vinya le havre reserva cabernet sauvignon ,spain,penedès,cabernet sauvignon,jean leon,2017,tempranillo,garnacha,cabernet sauvignon,"['jean', 'leon', 'vinya', 'le', 'havre', 'reserva', 'cabernet', 'sauvignon']"
18836575,red,bodega tandem ars memoria ,spain,navarra,cabernet sauvignon,bodega tandem,2012,tempranillo,garnacha,cabernet sauvignon,"['bodega', 'tandem', 'ars', 'memoria']"
161307312,red,marqués de griñon cabernet sauvignon ,spain,dominio de valdepusa,cabernet sauvignon,marqués de griñon,2019,tempranillo,garnacha,cabernet sauvignon,"['marqués', 'de', 'griñon', 'cabernet', 'sauvignon']"
156459425,red,el celler d’en marc lalut superior tinto ,spain,cataluña,cabernet sauvignon,el celler d’en marc,2018,tempranillo,garnacha,cabernet sauvignon,"['el', 'celler', 'd', '’', 'en', 'marc', 'lalut', 'superior', 'tinto']"
144711274,red,bacalhôa quinta da garrida reserva tinto ,portugal,dão,red,bacalhôa,2016,touriga nacional,tinta roriz,touriga franca,"['bacalhôa', 'quinta', 'da', 'garrida', 'reserva', 'tinto']"
157387255,red,paco de santar vinha do contador grande júri ,portugal,dão,red,paco de santar,2013,touriga nacional,tinta roriz,touriga franca,"['paco', 'de', 'santar', 'vinha', 'do', 'contador', 'grande', 'júri']"
20578527,red,quinta da pellada carrocel ,portugal,dão,red,quinta da pellada,2012,touriga nacional,tinta roriz,touriga franca,"['quinta', 'da', 'pellada', 'carrocel']"
